LVL1_NAME,LVL2_NAME,LVL3_NAME,LVL1_TID,LVL2_TID,LVL3_TID,LVL1_LINK,LVL2_LINK,LVL3_LINK
Республика Карелия,Калевальский муниципальный район,Калевальское,2348078,2348080,2348144,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348080,https://www.reformagkh.ru/myhouse?tid=2348144
Республика Карелия,Калевальский муниципальный район,Боровское,2348078,2348080,2348145,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348080,https://www.reformagkh.ru/myhouse?tid=2348145
Республика Карелия,Калевальский муниципальный район,Луусалмское,2348078,2348080,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348080,
Республика Карелия,Калевальский муниципальный район,Юшкозерское,2348078,2348080,2348147,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348080,https://www.reformagkh.ru/myhouse?tid=2348147
Республика Карелия,Петрозаводский,,2348078,2348093,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348093,
Республика Карелия,Пряжинский муниципальный район,,2348078,2348089,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,
Республика Карелия,Пряжинский муниципальный район,Матросское,2348078,2348089,2348681,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,https://www.reformagkh.ru/myhouse?tid=2348681
Республика Карелия,Пряжинский муниципальный район,Крошнозерское,2348078,2348089,2348680,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,https://www.reformagkh.ru/myhouse?tid=2348680
Республика Карелия,Пряжинский муниципальный район,Ведлозерское,2348078,2348089,2348684,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,https://www.reformagkh.ru/myhouse?tid=2348684
Республика Карелия,Пряжинский муниципальный район,Эссойльское,2348078,2348089,2348686,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,https://www.reformagkh.ru/myhouse?tid=2348686
Республика Карелия,Пряжинский муниципальный район,Святозерское,2348078,2348089,2348682,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,https://www.reformagkh.ru/myhouse?tid=2348682
Республика Карелия,Пряжинский муниципальный район,Чалнинское,2348078,2348089,2348685,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,https://www.reformagkh.ru/myhouse?tid=2348685
Республика Карелия,Пряжинский муниципальный район,Пряжинское,2348078,2348089,2348683,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348089,https://www.reformagkh.ru/myhouse?tid=2348683
Республика Карелия,Пудожский муниципальный район,,2348078,2348090,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,
Республика Карелия,Пудожский муниципальный район,Кривецкое,2348078,2348090,2348765,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,https://www.reformagkh.ru/myhouse?tid=2348765
Республика Карелия,Пудожский муниципальный район,Красноборское,2348078,2348090,2348764,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,https://www.reformagkh.ru/myhouse?tid=2348764
Республика Карелия,Пудожский муниципальный район,Куганаволокское,2348078,2348090,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,
Республика Карелия,Пудожский муниципальный район,Шальское,2348078,2348090,2348769,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,https://www.reformagkh.ru/myhouse?tid=2348769
Республика Карелия,Пудожский муниципальный район,Кубовское,2348078,2348090,2348766,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,https://www.reformagkh.ru/myhouse?tid=2348766
Республика Карелия,Пудожский муниципальный район,Авдеевское,2348078,2348090,2348763,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,https://www.reformagkh.ru/myhouse?tid=2348763
Республика Карелия,Пудожский муниципальный район,Пудожское,2348078,2348090,2348762,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,https://www.reformagkh.ru/myhouse?tid=2348762
Республика Карелия,Пудожский муниципальный район,Пяльмское,2348078,2348090,2348768,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348090,https://www.reformagkh.ru/myhouse?tid=2348768
Республика Карелия,Прионежский муниципальный район,,2348078,2348095,,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,
Республика Карелия,Прионежский муниципальный район,Нововилговское,2348078,2348095,2348639,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348639
Республика Карелия,Прионежский муниципальный район,Мелиоративное,2348078,2348095,2348645,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348645
Республика Карелия,Прионежский муниципальный район,Ладва-Веткинское,2348078,2348095,2348643,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348643
Республика Карелия,Прионежский муниципальный район,Деревянское,2348078,2348095,2348641,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348641
Республика Карелия,Прионежский муниципальный район,Деревянкское,2348078,2348095,2348640,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348640
Республика Карелия,Прионежский муниципальный район,Пайское,2348078,2348095,2348646,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348646
Республика Карелия,Прионежский муниципальный район,Рыборецкое вепсское,2348078,2348095,2348647,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348647
Республика Карелия,Прионежский муниципальный район,Шуйское,2348078,2348095,2348635,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348635
Республика Карелия,Прионежский муниципальный район,Шелтозерское вепсское,2348078,2348095,2348636,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348636
Республика Карелия,Прионежский муниципальный район,Шокшинское вепсское,2348078,2348095,2348637,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348637
Республика Карелия,Прионежский муниципальный район,Гарнизонное,2348078,2348095,2348638,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348638
Республика Карелия,Прионежский муниципальный район,Ладвинское,2348078,2348095,2348644,https://www.reformagkh.ru/myhouse?tid=2348078,https://www.reformagkh.ru/myhouse?tid=2348095,https://www.reformagkh.ru/myhouse?tid=2348644
